# time template
0.000000000000000000e+00 -1.957246141460813061e-19
2.441406250000000000e-04 -1.948142977639422810e-19
4.882812500000000000e-04 -1.938006375520271610e-19
7.324218750000000000e-04 -1.926841348308069814e-19
9.765625000000000000e-04 -1.914653569928476703e-19
1.220703125000000000e-03 -1.901449268746013770e-19
1.464843750000000000e-03 -1.887235196730681991e-19
1.708984375000000000e-03 -1.872018633616647158e-19
1.953125000000000000e-03 -1.855807389151084471e-19
2.197265625000000000e-03 -1.838609803971392689e-19
2.441406250000000000e-03 -1.820434745731840137e-19
2.685546875000000000e-03 -1.801291599487734737e-19
2.929687500000000000e-03 -1.781190270277950416e-19
3.173828125000000000e-03 -1.760141179379902881e-19
3.417968750000000000e-03 -1.738155252908801964e-19
3.662109375000000000e-03 -1.715243918512445040e-19
3.906250000000000000e-03 -1.691419101808508313e-19
4.150390625000000000e-03 -1.666693215381452901e-19
4.394531250000000000e-03 -1.641079156653791332e-19
4.638671875000000000e-03 -1.614590297947146958e-19
4.882812500000000000e-03 -1.587240482766419128e-19
5.126953125000000000e-03 -1.559044016528626065e-19
5.371093750000000000e-03 -1.530015659923071439e-19
5.615234375000000000e-03 -1.500170619987569392e-19
5.859375000000000000e-03 -1.469524544779661926e-19
6.103515625000000000e-03 -1.438093514026197962e-19
6.347656250000000000e-03 -1.405894027226492850e-19
6.591796875000000000e-03 -1.372943001452203544e-19
6.835937500000000000e-03 -1.339257758210560204e-19
7.080078125000000000e-03 -1.304856016725062400e-19
7.324218750000000000e-03 -1.269755882654323522e-19
7.568359375000000000e-03 -1.233975840238105349e-19
7.812500000000000000e-03 -1.197534743066942742e-19
8.056640625000000000e-03 -1.160451802049163493e-19
8.300781250000000000e-03 -1.122746576914902601e-19
8.544921875000000000e-03 -1.084438966532598978e-19
8.789062500000000000e-03 -1.045549196605266021e-19
9.033203125000000000e-03 -1.006097810907379286e-19
9.277343750000000000e-03 -9.661056599789193671e-20
9.521484375000000000e-03 -9.255938891464408140e-20
9.765625000000000000e-03 -8.845839284704850605e-20
1.000976562500000000e-02 -8.430974821974099363e-20
1.025390625000000000e-02 -8.011565145577463218e-20
1.049804687500000000e-02 -7.587832418519428109e-20
1.074218750000000000e-02 -7.160001173567582459e-20
1.098632812500000000e-02 -6.728298226184183192e-20
1.123046875000000000e-02 -6.292952523817984797e-20
1.147460937500000000e-02 -5.854195049492918168e-20
1.171875000000000000e-02 -5.412258688233198886e-20
1.196289062500000000e-02 -4.967378107229852977e-20
1.220703125000000000e-02 -4.519789626643447108e-20
1.245117187500000000e-02 -4.069731104829042257e-20
1.269531250000000000e-02 -3.617441800412593711e-20
1.293945312500000000e-02 -3.163162253391940439e-20
1.318359375000000000e-02 -2.707134151823472717e-20
1.342773437500000000e-02 -2.249600211515021158e-20
1.367187500000000000e-02 -1.790804037244897092e-20
